board,solving_time,solver
0,0.012634707964025438,pysat
1,0.18965874996501952,pysat
2,0.2516054589068517,pysat
3,0.6893145829671994,pysat
4,0.21858174994122237,pysat
5,0.24903700000140816,pysat
6,0.7350668750004843,pysat
7,0.7315317080356181,pysat
8,0.6254340829327703,pysat
9,0.9484244999475777,pysat
10,0.2939484999515116,pysat
11,2.725014292052947,pysat
12,2.7557567089097574,pysat
13,3.196837208000943,pysat
14,3.357337124994956,pysat
15,3.6282407919643447,pysat
16,2.0294687079731375,pysat
17,9.990737667074427,pysat
18,18.18123337510042,pysat
19,10.388653708039783,pysat
20,0.028698917012661695,pysat
21,0.3836364580783993,pysat
22,0.43079029209911823,pysat
23,1.804069040925242,pysat
24,5.966200708993711,pysat
25,132.5303414169466,pysat
26,0.06601375003810972,pysat
27,0.4334747079992667,pysat
28,0.3989953750278801,pysat
29,418.0333424580749,pysat
30,0.21351625001989305,pysat
31,0.4051460000919178,pysat
32,0.27482762502040714,pysat
33,0.4040488749742508,pysat
34,0.062032624962739646,pysat
35,0.5927684999769554,pysat
36,0.2598857081029564,pysat
37,0.6402081660926342,pysat
38,0.48490775004029274,pysat
39,1.0222608330659568,pysat
40,0.49439645803067833,pysat
41,0.377700624987483,pysat
42,0.15299262490589172,pysat
43,0.4680060000391677,pysat
44,0.4391449169488624,pysat
45,0.5127789580728859,pysat
46,0.4679428330855444,pysat
47,0.1456327079795301,pysat
48,0.21759408304933459,pysat
49,0.1766596669331193,pysat
50,0.14461691596079618,pysat
51,0.1655426250072196,pysat
52,0.35472883307375014,pysat
53,0.3992202499648556,pysat
54,0.5089662079699337,pysat
55,0.3387084589339793,pysat
56,0.48597079096361995,pysat
57,0.6133880000561476,pysat
58,1.3352933330461383,pysat
59,1.1754971659975126,pysat
60,1.4853061250178143,pysat
61,1.768641332979314,pysat
62,0.35000395798124373,pysat
63,0.45607474993448704,pysat
64,0.6827732078963891,pysat
65,0.42679129098542035,pysat
66,0.34162270894739777,pysat
67,0.43330549995880574,pysat
68,0.34813050006050617,pysat
69,0.5295062499353662,pysat
70,0.36218779103364795,pysat
71,1.5072597090620548,pysat
72,3.8363250829279423,pysat
73,2.3821114170132205,pysat
74,3.4806684169452637,pysat
75,1.802686290931888,pysat
76,1.443935582996346,pysat
77,1.853206165949814,pysat
78,1.8508650419535115,pysat
79,2.340877249953337,pysat
80,1.6672938748961315,pysat
81,8.621391207911074,pysat
82,9.98635366698727,pysat
83,0.1706579589517787,pysat
84,8.753629417042248,pysat
85,17.058719958993606,pysat
86,35.797461625072174,pysat
87,21.632933583925478,pysat
88,10.077794749988243,pysat
89,20.777001334005035,pysat
90,33.69417083391454,pysat
91,118.76926916604862,pysat
92,293.4757666660007,pysat
93,101.37911204190459,pysat
94,302.17176404199563,pysat
95,0.6719824169995263,pysat
96,0.4163897910621017,pysat
97,0.2758077079197392,pysat
98,0.4544535420136526,pysat
99,0.5507368749240413,pysat
100,0.3922844580374658,pysat
101,0.0053224998991936445,pysat
102,0.005224833032116294,pysat
103,0.01520704198628664,pysat
104,0.016241332981735468,pysat
105,0.01414137496612966,pysat
106,0.014507209067232907,pysat
107,0.018349249963648617,pysat
108,8.068219583015889,pysat
109,0.3483440410345793,pysat
110,0.7197021659230813,pysat
111,0.02138829103205353,pysat
112,0.02886912494432181,pysat
113,0.05268383293878287,pysat
114,0.02165858307853341,pysat
115,0.03067920811008662,pysat
116,0.04814129206351936,pysat
117,0.023815124994143844,pysat
118,0.028739916044287384,pysat
119,0.027707541012205184,pysat
120,0.04911404103040695,pysat
121,0.03927408391609788,pysat
122,0.04136637505143881,pysat
123,0.07436841598246247,pysat
124,0.09352120803669095,pysat
125,0.048939041094854474,pysat
126,0.06872279103845358,pysat
127,0.06746254197787493,pysat
128,0.42325237498153,pysat
129,0.05032620800193399,pysat
130,0.050761125050485134,pysat
131,0.08809424994979054,pysat
132,0.10152641707099974,pysat
133,0.12577600008808076,pysat
134,0.12696762499399483,pysat
135,0.11575429199729115,pysat
136,0.07293008302804083,pysat
137,0.11596312501933426,pysat
138,0.1199639169499278,pysat
139,0.11448366707190871,pysat
140,0.12615279201418161,pysat
141,0.2743654999649152,pysat
142,0.2362438749987632,pysat
143,0.16197779192589223,pysat
144,0.19379875005688518,pysat
145,0.17776874999981374,pysat
146,0.3495704169617966,pysat
147,0.15765529207419604,pysat
148,0.2632379580754787,pysat
149,0.17939770792145282,pysat
150,0.7075525000691414,pysat
151,9.830928625073284,pysat
152,7.163233125000261,pysat
153,8.530498125008307,pysat
154,7.929778625024483,pysat
155,8.788371041999198,pysat
156,101.25962570798583,pysat
157,17.517405417049304,pysat
158,10.72006445901934,pysat
159,10.696869625011459,pysat
160,7.902703833999112,pysat
161,21.51297133404296,pysat
162,23.430251457961276,pysat
163,2.486719625070691,pysat
164,1.2096666670404375,pysat
165,1.8233192500192672,pysat
166,1.9895994999678805,pysat
167,2.7149654160020873,pysat
168,3.3470686660148203,pysat
169,1.0597728330176324,pysat
170,2.0290054170181975,pysat
171,2.6971375829307362,pysat
172,2.2063834159635007,pysat
173,1.2401070419000462,pysat
174,3.7596146669238806,pysat
175,1.7280237500090152,pysat
176,1.2353790840134025,pysat
177,1.9988359169801697,pysat
178,1.6927150000119582,pysat
179,1.9276198339648545,pysat
180,6.187068916973658,pysat
181,1.6011262079700828,pysat
182,1.5903532500378788,pysat
183,0.4143474999582395,pysat
184,0.3803105419501662,pysat
185,0.3033864579629153,pysat
186,0.6000643750885502,pysat
187,0.36769720795564353,pysat
188,0.7832228749757633,pysat
189,0.4714868329465389,pysat
190,0.5587045000866055,pysat
191,0.637120041064918,pysat
192,0.42459154094103724,pysat
193,0.4616750830318779,pysat
194,0.6585516249760985,pysat
195,0.4279223340563476,pysat
196,0.5177420839900151,pysat
197,0.4347360000247136,pysat
198,0.5682116249809042,pysat
199,0.3691757080378011,pysat
200,0.5165170830441639,pysat
201,0.36514883290510625,pysat
202,0.5532283750362694,pysat
203,0.3014908750774339,pysat
204,0.42415616603102535,pysat
205,0.3981697920244187,pysat
206,0.6637507079867646,pysat
207,0.39299987500999123,pysat
208,0.7801052500726655,pysat
209,0.6506862089736387,pysat
210,0.4670628330204636,pysat
211,8.124321500072256,pysat
212,5.693250959040597,pysat
213,6.746828541974537,pysat
214,7.239427666994743,pysat
215,9.48520204203669,pysat
216,17.975122625008225,pysat
217,4.618303416064009,pysat
218,7.771980541059747,pysat
219,4.774988124961965,pysat
220,6.131799458060414,pysat
221,0.4062228749971837,pysat
222,0.4715526660438627,pysat
223,0.42162787506822497,pysat
224,0.587221333058551,pysat
225,0.681293583009392,pysat
226,6.442775166942738,pysat
227,0.9914225419051945,pysat
228,297.30676475004293,pysat
229,786.2195009579882,pysat
230,2.3246533749625087,pysat
231,0.30062166589777917,pysat
232,0.4196833339519799,pysat
233,0.27560370799619704,pysat
234,0.40292666701134294,pysat
235,0.3649757499806583,pysat
236,0.32692150003276765,pysat
237,0.661850625067018,pysat
238,0.28781966702081263,pysat
239,0.3309490840183571,pysat
240,0.3865542500279844,pysat
241,0.6483027919894084,pysat
242,0.35116383305285126,pysat
243,0.26804604090284556,pysat
244,0.30513691692613065,pysat
245,0.42664712492842227,pysat
246,0.2803144579520449,pysat
247,0.28534645796753466,pysat
248,0.8545541670173407,pysat
249,0.29569979198276997,pysat
250,0.33778733294457197,pysat
251,17.25235750002321,pysat
252,0.6694776670774445,pysat
253,12.369907374959439,pysat
254,0.4246595000149682,pysat
255,3.2378574159229174,pysat
256,2.217926749959588,pysat
257,1.7531912910053506,pysat
258,1.4607243329519406,pysat
259,2.224755458999425,pysat
260,0.27754637494217604,pysat
261,175.69288083398715,pysat
262,208.11185400001705,pysat
263,0.758035916951485,pysat
264,2.752940458012745,pysat
265,0.27972920902539045,pysat
266,0.30981533403974026,pysat
267,0.24213891592808068,pysat
268,0.2809394159121439,pysat
269,0.28037266596220434,pysat
270,0.4458785420283675,pysat
271,0.21891695889644325,pysat
272,0.307438625022769,pysat
273,0.27638454199768603,pysat
274,0.3195779159432277,pysat
275,0.489175415947102,pysat
276,0.2503491250099614,pysat
277,0.4267006670124829,pysat
278,0.37588937499094754,pysat
279,0.4521152919624001,pysat
280,0.47092979098670185,pysat
281,0.6249312909785658,pysat
282,0.36212099995464087,pysat
283,0.5992942079901695,pysat
284,0.3677449160022661,pysat
285,0.3741634999169037,pysat
286,0.339668917004019,pysat
287,0.42313975002616644,pysat
288,0.35390250000637025,pysat
289,0.43060837499797344,pysat
290,0.41434291703626513,pysat
291,1.7607837080722675,pysat
292,1.1262769580353051,pysat
293,1.142279916908592,pysat
294,0.44032166607212275,pysat
295,0.399233250063844,pysat
